Feature,Importance
TotalCampaignsAccepted,0.24582975
EnrollmentYear,0.104331344
Marital_Status_Single,0.05038341
Teenhome,0.04685749
AcceptedCmp2,0.03657219
Recency,0.03551794
AcceptedCmp4,0.03449332
TotalChildren,0.032020472
NumStorePurchases,0.028727906
Marital_Status_Widow,0.027458392
Kidhome,0.025972923
AcceptedCmp3,0.025625411
NumWebVisitsMonth,0.025246521
MntMeatProducts,0.0244647
NumDealsPurchases,0.019507986
AcceptedCmp1,0.01898241
Education,0.01806012
TotalPurchases,0.017033787
MntWines,0.016793303
Income,0.016556572
Marital_Status_Married,0.016486846
TotalSpend,0.01596652
MntGoldProds,0.01580603
MntFishProducts,0.015008899
MntSweetProducts,0.014511871
Age,0.014491081
NumCatalogPurchases,0.013406769
MntFruits,0.013386629
NumWebPurchases,0.011999946
Marital_Status_Together,0.010907051
AcceptedCmp5,0.007592398
Complain,0.0
